CountryName,CountryCode,GDPPerCapita,ElectricityPerCapita,CO2PerCapita
United States,USA,55047.72556,12997.44863,16.50726562
Uruguay,URY,16831.97294,3085.194419,1.984240835
Uzbekistan,UZB,2492.336643,1645.441629,3.420722746
Vanuatu,VUT,3088.258303,..,0.583633966
"Venezuela, RB",VEN,16054.49051,2718.942775,6.164731034
Vietnam,VNM,2030.261955,1423.688345,1.819893977
Virgin Islands (U.S.),VIR,33573.09703,..,..
West Bank and Gaza,PSE,3046.821798,..,..
"Yemen, Rep.",YEM,1674.002766,219.7999224,0.878995612
Zambia,ZMB,1763.056239,717.3491679,0.292412222
Zimbabwe,ZWE,1434.89934,609.1259521,0.884721294
